Bokföringsdag,Belopp,Namn
12/05/2022,-47333,SKATTEVERKET
12/05/2022,-7962,SKATTEVERKET
04/05/2022,-246263,GARANTITAK I KUMLA AB
04/05/2022,-4.2,PRIS ENL SPEC
27/04/2022,250000,FÄNSBODA AB
21/04/2022,50000,FÄNSBODA AB
12/04/2022,-7962,SKATTEVERKET
04/04/2022,-11.9,PRIS ENL SPEC
31/03/2022,-15188,JA:S BILSERVICE
31/03/2022,259351,BG INBETALNINGAR
14/03/2022,-7962,SKATTEVERKET
04/03/2022,-50000,SKATTEVERKET
03/03/2022,-5.1,PRIS ENL SPEC
03/03/2022,50000,FÄNSBODA AB
01/03/2022,-16368,LÄNSFÖRSÄKRINGAR BERGSLAGEN
15/02/2022,-7500,E C A Redovisning i Örebro AB
14/02/2022,-47577,SKATTEVERKET
14/02/2022,-7962,SKATTEVERKET
03/02/2022,-11.7,PRIS ENL SPEC
27/01/2022,-275000,FASTIGHET ARNBOMSGATAN AB
17/01/2022,-7962,SKATTEVERKET
05/01/2022,-1313.5,PRIS ENL SPEC
03/01/2022,26933,BG INBETALNINGAR
